Baldwin County, AL	14	199713
Jefferson County, AL	99	660368
Mobile County, AL	18	414926
Shelby County, AL	13	206199
Anchorage Borough, AK	26	300357
Maricopa County, AZ	149	4090022
Mohave County, AZ	17	203331
Pima County, AZ	104	1004244
Alameda County, CA	39	1612850
Butte County, CA	15	224033
Contra Costa County, CA	33	1111710
Fresno County, CA	29	964983
Humboldt County, CA	14	134831
Imperial County, CA	10	179332
Kern County, CA	39	874190
Kings County, CA	11	150108
Los Angeles County, CA	194	10109436
Monterey County, CA	10	431293
Orange County, CA	59	3144961
Riverside County, CA	112	2328329
Sacramento County, CA	42	1481474
San Bernardino County, CA	39	2110386
San Diego County, CA	89	3265700
San Francisco County, CA	57	852537
San Joaquin County, CA	18	715114
San Luis Obispo County, CA	13	279116
San Mateo County, CA	15	758333
Santa Clara County, CA	20	1896040
Santa Cruz County, CA	29	271401
Solano County, CA	18	430791
Sonoma County, CA	20	499674
Stanislaus County, CA	15	531951
Tulare County, CA	14	457260
Ventura County, CA	26	846119
Adams County, CO	45	481169
Arapahoe County, CO	27	619634
Boulder County, CO	16	313864
Denver County, CO	48	663963
Douglas County, CO	13	314850
El Paso County, CO	60	662874
Jefferson County, CO	25	559042
Larimer County, CO	20	324657
Pueblo County, CO	20	161759
Weld County, CO	12	276379
Fairfield County, CT	52	945816
Hartford County, CT	98	896871
Litchfield County, CT	29	184910
Middlesex County, CT	16	164757
New Haven County, CT	91	861238
New London County, CT	37	272743
Tolland County, CT	15	151597
Windham County, CT	18	116830
Kent County, DE	25	171773
New Castle County, DE	40	553347
Sussex County, DE	21	210848
District of Columbia, DC	49	659836
Brevard County, FL	36	556902
Broward County, FL	65	1869679
Citrus County, FL	11	139217
Collier County, FL	26	348355
Duval County, FL	70	899353
Hillsborough County, FL	59	1318325
Indian River County, FL	12	144772
Lake County, FL	12	315736
Lee County, FL	38	679233
Manatee County, FL	38	351771
Marion County, FL	21	338749
Miami-Dade County, FL	42	2668903
Orange County, FL	107	1256495
Osceola County, FL	27	311965
Palm Beach County, FL	55	1398518
Pasco County, FL	43	485640
Pinellas County, FL	64	938144
Polk County, FL	30	635264
St. Lucie County, FL	14	290957
Sarasota County, FL	23	397024
Seminole County, FL	23	442533
Volusia County, FL	19	507729
Cobb County, GA	35	731018
DeKalb County, GA	29	724222
Douglas County, GA	10	138466
Fulton County, GA	82	996463
Gwinnett County, GA	24	877726
Paulding County, GA	11	148921
Honolulu County, HI	16	992082
Ada County, ID	10	426847
Champaign County, IL	23	207424
Cook County, IL	420	5248704
DuPage County, IL	49	933769
Kane County, IL	25	527501
Kankakee County, IL	14	111473
Lake County, IL	45	704149
McHenry County, IL	20	306975
McLean County, IL	14	174110
Madison County, IL	49	266635
Peoria County, IL	17	187185
St. Clair County, IL	28	265552
Sangamon County, IL	17	199103
Tazewell County, IL	11	135532
Will County, IL	55	685621
Winnebago County, IL	58	288574
Allen County, IN	13	365701
Delaware County, IN	10	117201
Lake County, IN	25	490574
Marion County, IN	63	934531
Porter County, IN	27	167308
St. Joseph County, IN	24	267679
Polk County, IA	12	460341
Johnson County, KS	11	573964
Sedgwick County, KS	25	509294
Boone County, KY	17	126190
Bullitt County, KY	10	78041
Campbell County, KY	25	91737
Fayette County, KY	46	311399
Jefferson County, KY	46	760621
Kenton County, KY	35	164045
East Baton Rouge Parish, LA	18	446064
Jefferson Parish, LA	57	435536
Orleans Parish, LA	48	384360
St. Tammany Parish, LA	17	246056
Androscoggin County, ME	12	107408
Cumberland County, ME	11	287875
York County, ME	19	200608
Anne Arundel County, MD	12	560286
Baltimore County, MD	16	827794
Montgomery County, MD	13	1030476
Prince George's County, MD	14	903357
Baltimore city, MD	26	623711
Barnstable County, MA	37	214665
Berkshire County, MA	20	128565
Bristol County, MA	115	554626
Essex County, MA	127	770486
Hampden County, MA	41	469566
Hampshire County, MA	14	161106
Middlesex County, MA	166	1572523
Norfolk County, MA	82	692688
Plymouth County, MA	66	507050
Suffolk County, MA	87	769809
Worcester County, MA	100	814972
Genesee County, MI	23	412934
Ingham County, MI	10	284263
Kent County, MI	39	630225
Livingston County, MI	14	185703
Macomb County, MI	100	861636
Monroe County, MI	23	149945
Oakland County, MI	24	1239897
Ottawa County, MI	15	276598
St. Clair County, MI	18	160037
Washtenaw County, MI	50	357029
Wayne County, MI	237	1766008
Hennepin County, MN	73	1212097
Ramsey County, MN	22	533634
St. Louis County, MN	17	200780
Washington County, MN	14	249320
DeSoto County, MS	12	170886
Franklin County, MO	15	101999
Greene County, MO	22	285852
Jackson County, MO	43	683683
Jefferson County, MO	45	222644
St. Charles County, MO	43	379952
St. Francois County, MO	11	65948
St. Louis County, MO	130	1002188
